13	77	2
13	78	2
13	80	2
13	84	1
13	85	2
13	89	1
13	91	1
13	94	1
13	97	1
13	99	1
13	101	1
13	103	1
13	106	2
13	107	1
13	111	1
13	113	3
13	114	2
13	115	1
14	16	1
14	17	2
14	19	3
14	20	2
14	23	2
14	24	3
14	25	4
14	26	2
14	29	1
14	30	2
14	32	1
14	33	1
14	34	1
14	36	2
14	37	1
14	38	1
14	39	1
14	40	3
14	41	4
14	44	2
14	46	1
14	48	1
14	55	2
14	56	1
14	58	6
14	60	1
14	65	1
14	67	1
14	68	2
14	70	1
14	71	1
14	76	1
14	77	1
14	80	2
14	82	1
14	83	1
14	85	1
14	87	1
14	89	1
14	93	1
14	101	2
14	102	1
14	103	1
14	104	1
14	106	1
14	108	1
14	113	2
14	117	1
15	24	2
15	58	2
15	83	1
15	118	1
16	17	3
16	19	5
16	20	1
16	22	1
16	23	2
16	24	6
16	25	5
16	29	2
16	30	1
16	33	2
16	34	1
16	36	2
16	37	2
16	38	3
16	40	1
16	41	2
16	42	1
16	44	3
16	46	1
16	54	1
16	55	1
16	58	12
16	67	1
16	68	2
16	70	1
16	71	2
16	77	3
16	80	3
16	82	1
16	83	1
16	87	2
16	89	2
16	93	1
16	99	2
16	101	1
16	103	1
16	106	2
16	108	2
16	113	1
16	114	1
17	19	8
17	22	1
17	23	2
17	24	9
17	25	5
17	26	2
17	28	1
17	29	1
17	30	2
17	32	2
17	33	2
17	34	1
17	36	6
17	37	5
17	38	5
17	40	2
17	41	3
17	44	1
17	46	1
17	47	2
17	53	2
17	55	1
17	56	3
17	58	15
17	60	1
17	61	1
17	62	1
17	63	1
17	67	1
17	68	3
17	70	2
17	71	1
17	77	2
17	80	2
17	82	1
17	83	1
17	87	1
17	89	2
17	91	1
17	93	2
17	98	2
17	99	1
17	101	1
17	103	3
17	104	1
17	106	2
17	107	1
17	108	5
17	111	1
17	112	3
17	113	1
17	117	3
18	19	4
18	22	1
18	24	3
18	25	6
18	26	3
18	32	1
18	35	1
18	36	4
18	37	2
18	40	1
18	41	1
18	44	1
