id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
692	International Journal of Sustainable Development & World Ecology	2.5589	0.4374	2	124	469	30			
693	Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)	0.1325	2.4555	10	0	0	2			
694	Conservation Biology	1.6906	1.7551	6	12	35	6			
695	PsyEcology Bilingual Journal of Environmental Psychology	1.8958	1.5861	6	3	6	2			
696	ELT Journal	-1.2038	2.2538	13	9	19	3			
697	Improving Schools	-1.095	2.377	13	10	26	4			
698	Energy Reports	-0.9347	2.0918	13	3	6	2			
699	Research in Comparative and International Education	-1.0225	2.1859	13	14	36	5			
700	International explorations in outdoor and environmental education	1.8041	1.8739	6	16	38	4			
701	The Journal of Psychology	1.9388	1.618	6	2	4	2			
702	Journal of Workplace Learning	2.3761	0.3031	2	11	25	3			
703	Environmental Health Perspectives	-0.9492	2.1164	13	4	11	4			
704	SAGE Open	-2.3228	1.2644	17	15	48	8			
705	Journal of Educational and Social Research	-0.8914	2.6608	13	1	2	2			
706	Policy Futures in Education	1.5336	1.7076	6	5	11	3			
707	Proceedings of the National Academy of Sciences	-0.6696	2.435	12	61	202	14			
708	International Journal of Research in Marketing	-2.1463	-0.255	20	17	38	3			
709	Energy	-0.7225	2.1766	13	3	6	2			
710	Reflective Practice	-1.0828	2.4261	13	10	25	4			
711	SSRN Electronic Journal	2.3557	0.4075	2	85	285	25			
712	peDOCS	-0.6508	2.4952	12	38	124	10			
713	Cogent Social Sciences	-1.1154	2.3509	13	6	15	3			
714	Internet Research	-0.7658	2.4421	13	2	4	2			
715	MIS Quarterly	2.5771	0.1996	1	21	51	6			
716	Oxford University Press eBooks	1.7141	1.8162	6	35	110	11			
717	Technology and Culture	-0.8722	2.5399	13	2	4	2			
718	PubMed	2.3514	0.3437	2	28	93	12			
719	Journal of Building Engineering	-1.0514	2.0824	13	3	6	2			
720	Studies In Educational Evaluation	2.6614	-0.0728	1	48	131	9			
721	ACM SIGMIS Database the DATABASE for Advances in Information Systems	-1.0101	2.0079	13	2	4	2			
722	The Leadership Quarterly	-0.8378	2.5083	13	2	4	2			
723	Journal of Science Education and Technology	1.6407	1.9096	6	53	160	13			
724	Water	-0.87	2.3886	13	6	14	4			
725	Nonprofit and Voluntary Sector Quarterly	1.4102	1.9912	6	5	10	2			
726	Journal of Climate Change	1.9078	2.084	6	3	6	2			
727	World sustainability series	-0.6146	2.4162	12	285	1373	93			
728	Global Health Action	-1.1223	2.2417	13	8	20	3			
729	Phi Delta Kappan	1.5383	1.6338	6	3	6	2			
730	Science Education	1.709	1.8879	6	46	140	13			
731	Innovation in Teaching and Learning in Information and Computer Sciences	-1.1605	2.181	13	7	15	3			
732	Heliyon	2.4338	0.4632	2	46	144	12			
733	Frontiers in Conservation Science	1.8683	1.7905	6	7	17	3			
734	Interactive Learning Environments	2.5753	0.0391	1	41	110	8			
735	International Journal of Lifelong Education	-0.5544	2.3536	12	34	96	9			
736	Educational Research Review	2.6206	-0.0385	1	80	233	15			
737	The Sustainable development goals report	-1.1741	2.2223	13	15	34	4			
738	Journal of Hospitality Leisure Sport & Tourism Education	-1.1229	2.3056	13	13	35	6			
739	Environmental Science & Policy	-0.5938	2.4938	12	29	99	10			
740	Environmental Science and Pollution Research	2.4577	0.4936	2	34	94	8			
741	Journal of Applied Communication Research	1.4696	1.6586	6	2	4	2			
742	Teaching Education	1.5527	1.952	6	7	14	2			
743	Higher Education Management	-0.4714	2.4398	12	12	29	4			
744	European Journal of Education	-0.5931	2.42	12	80	318	27			
745	Environmental Research	-0.7913	2.3191	13	5	10	3			
746	Science	1.7772	1.8121	6	109	387	30			
747	Journal of Social Issues	1.7273	1.8045	6	57	212	17			
748	Remote Sensing	-1.276	2.5696	13	1	2	2			
749	Journal of Teaching in Travel & Tourism	-1.252	2.328	13	5	10	3			
750	Comparative Education	-1.2872	2.2513	13	2	4	3			
751	Business Strategy & Development	-0.2295	2.5443	11	0	0	2			
752	Digital Library Of The Commons Repository (Indiana University)	-1.1084	2.6539	13	2	4	2			
753	Structural Equation Modeling A Multidisciplinary Journal	2.3902	0.4658	2	55	157	10			
754	Multilingual Matters eBooks	-1.2435	2.2423	13	11	22	3			
755	Proceedings of the ... International Design Conference/Design ...	-0.9336	2.4094	12	2	4	3			
756	Journal of Agricultural and Environmental Ethics	1.8826	1.804	6	5	10	2			
757	Journal of the Medical Library Association JMLA	-1.8452	1.2242	17	3	6	2			
758	Foreign Language Annals	-1.1901	2.2089	13	10	23	3			
759	Asia-Pacific Journal of Teacher Education	1.6562	1.8366	6	17	42	4			
760	Current Psychology	1.9724	1.7615	6	8	16	3			
761	Sustainable Futures	2.5586	0.6026	2	6	12	2			
762	Management and industrial engineering	-0.9155	2.2825	13	9	31	6			
763	Academy of Management Perspectives	-1.0921	2.3386	13	10	26	4			
764	Medical Teacher	1.6367	1.7651	6	13	31	4			
765	Earth s Future	-1.2356	2.4932	13	3	6	2			
766	Science and Engineering Ethics	-2.1874	1.1259	17	53	157	12			
767	Journal of Transformative Education	-0.5815	2.388	12	133	520	34			
768	Social Science Computer Review	-0.6723	2.5775	12	9	18	2			
769	UCL Press eBooks	-2.3058	1.5856	17	3	6	2			
770	Evidence-Based Nursing	-0.7207	2.3493	13	2	4	2			
771	Revista Latinoamericana de Psicología	-0.5219	2.3002	12	8	20	3			
772	Tourism Management	-1.1446	2.2781	13	16	38	5			
773	Choice Reviews Online	-2.2605	1.318	17	137	484	31			
774	Green energy and technology	-1.1376	2.3193	13	9	21	3			
