id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
328	university teachers	1.4527	1.8862	2	1	2	3	2024.67		
329	community engagement	2.4827	0.2984	1	2	4	4	2025.0		
330	governance approach	-1.9849	-2.1083	6	1	2	2	2022.5		
331	staff training	1.4263	1.6973	2	1	2	2	2021.0		
332	university teaching	-1.375	-1.6693	6	1	2	2	2020.5		
333	employability	2.6051	0.3049	1	1	2	3	2023.67		
334	work-based learning	2.4135	0.2754	1	1	2	2	2022.0		
335	qualitative research	2.0952	0.2155	1	1	2	3	2017.67		
336	case-studies	-2.5539	-0.1504	5	7	18	3	2023.67		
337	global challenges	-2.1149	1.3585	4	4	8	3	2023.33		
338	munich university of applied sciences (muas)	-0.2374	2.3461	3	2	4	2	2016.5		
339	sustainability in higher education	1.5426	2.0587	2	1	2	3	2021.0		
340	economic and social effects	-2.5339	0.343	5	2	4	3	2021.33		
341	carbon accounting	2.0987	1.9423	2	4	8	2	2026.0		
342	esg reporting	2.1205	1.8627	2	4	8	2	2026.0		
343	data analytics	2.1213	1.9073	2	4	8	2	2026.0		
344	personnel training	-2.6158	-0.0829	5	10	25	4	2024.0		
345	professional aspects	-2.7261	-0.084	5	3	6	2	2023.0		
346	living lab	-2.7682	-0.1495	5	1	2	2	2021.0		
347	behavioral research	-2.3233	-0.1371	5	2	4	2	2025.5		
348	pedagogical content knowledge	1.4129	1.7564	2	1	2	2	2023.5		
349	educators’ competences	1.5215	2.0205	2	1	2	2	2023.5		
350	esd competences	1.5838	1.4579	2	2	4	3	2024.0		
351	esd framework	1.4126	1.8095	2	1	2	2	2025.0		
352	mindset	2.0359	1.6935	2	3	6	2	2024.5		
353	gestaltungskompetenz	2.0241	1.655	2	3	6	2	2024.5		
354	expertise	0.1744	-2.6922	7	2	4	2	2023.5		
355	graduate study	-0.2313	-2.5531	7	1	2	2	2017.5		
356	teaching practice	1.8873	1.4638	2	2	4	2	2019.0		
357	student attitudes	0.0114	-2.4101	7	6	15	4	2023.5		
358	undergraduate students	0.1734	-2.5414	7	3	8	4	2023.75		
359	knowledge level	0.112	-2.4412	7	6	14	3	2023.0		
360	learner engagement	-0.201	-2.4104	7	1	2	2	2025.0		
361	student behavior	0.1175	-2.3524	7	5	10	2	2023.5		
