id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
501	Sanda University	2.3451	1.2825	21	2	2	1	2026.0		
502	University of KwaZulu-Natal	1.2941	-2.4752	184	1	1	1	2020.0		
503	Southwestern University of Finance and Economics	1.4526	-2.0795	191	0	0	1	2025.0		
504	Instituto Federal do Sul de Minas	1.3301	-1.7435	192	1	1	1	2025.0		
505	Universidade Federal de Alfenas	1.7716	-2.1782	192	1	1	1	2025.0		
506	Dublin City University	2.5421	0.4828	4	2	2	1	2025.0		
507	United States Institute of Peace	2.4607	0.4859	4	2	2	1	2025.0		
508	University of Malta	1.8787	-1.9596	193	2	2	2	2023.5		
509	Louisiana State University	1.5597	-1.6122	194	2	2	1	2025.0		
510	Framingham State University	1.932	-1.9136	194	2	2	1	2025.0		
511	James Madison University	1.4848	-2.0854	194	2	2	1	2025.0		
512	McGill University	1.6885	-1.7801	195	0	0	1	2025.0		
513	Hamburg School of Business Administration	1.7722	-1.8363	196	0	0	1	2025.0		
514	Canterbury Christ Church University	1.8195	-1.7044	197	0	0	1	2018.0		
515	University of Siena	1.8145	-1.6643	198	0	0	1	2022.0		
516	New York University	1.9079	-1.6761	199	0	0	1	2023.0		
517	Health Education North West	1.9678	-1.5366	200	0	0	1	2025.0		
518	Adam Smith Institute	2.0522	0.2601	6	1	1	1	2024.0		
519	University of Manchester	1.5793	2.1313	38	1	1	1	2025.0		
520	Caribbean Disaster Emergency Management Agency	-1.1934	-2.0678	146	2	2	1	2023.0		
521	University of Wales Trinity Saint David	-1.6407	-2.2396	146	2	2	1	2023.0		
522	Iscte – Instituto Universitário de Lisboa	2.0473	-1.4564	201	0	0	1	2025.0		
523	University of Leeds	1.966	-1.4992	202	0	0	1	2025.0		
524	SRM Institute of Science and Technology	2.1007	-1.3687	203	0	0	1	2025.0		
525	International University of Sarajevo	2.1392	-1.1428	204	0	0	1	2024.0		
526	North-Caucasus Federal University	2.1788	-1.2186	205	0	0	1	2020.0		
527	Hochschule Niederrhein	2.233	-1.1817	206	0	0	1	2025.0		
528	Polytechnic University of Turin	2.2029	-1.1143	207	0	0	1	2021.0		
529	Northern College	2.2116	-1.1011	208	0	0	1	2024.0		
530	Winona State University	2.2558	-1.0213	209	0	0	1	2025.0		
531	Zittau/Görlitz University of Applied Sciences	2.0873	-0.7434	210	1	1	1	2018.0		
532	International University Institute	2.5287	-1.1782	210	1	1	1	2018.0		
533	Riga Technical University	-1.4791	1.8813	77	1	1	1	2021.0		
534	Norwegian University of Science and Technology	2.4499	-0.9887	211	0	0	1	2023.0		
535	Samuel S. Fleisher Art Memorial	1.5063	-1.6582	193	2	2	1	2023.0		
536	Malta College of Arts, Science and Technology	1.4314	-2.1314	193	2	2	1	2023.0		
537	HAW Hamburg	-1.9738	1.9015	82	1	1	1	2017.0		
538	Politecnico di Milano	2.3928	-0.9099	212	0	0	1	2023.0		
539	Suffolk University	2.3573	-0.708	213	0	0	1	2025.0		
540	University of Verona	-0.4697	2.7391	64	1	1	1	2025.0		
541	Caraga State University	2.3044	0.5801	13	1	1	1	2016.0		
542	Macquarie University	2.4046	-0.749	214	0	0	1	2016.0		
543	Telkom University	2.3843	-0.5932	215	0	0	1	2024.0		
544	City University of Macau	2.4002	-0.5479	216	0	0	1	2022.0		
545	Daugavpils University	2.4538	-0.5225	217	0	0	1	2016.0		
546	University of Worcester	2.5716	-0.3889	218	0	0	2	2018.5		
547	University of North Carolina at Greensboro	2.374	-0.3417	219	0	0	1	2022.0		
548	University of Latvia	2.4511	-0.2385	220	0	0	1	2021.0		
549	University of Sindh	2.2704	0.0063	221	1	1	1	2025.0		
550	University of East	2.7118	-0.4284	221	1	1	1	2025.0		
551	Darmstadt University of Applied Sciences	2.2753	0.0766	222	1	1	1	2023.0		
552	Wilhelm Büchner Hochschule	2.7167	-0.3582	222	1	1	1	2023.0		
553	Boston Latin Academy	0.1913	2.8172	54	1	1	1	2014.0		
554	University of Manitoba	2.2783	0.1469	223	1	1	1	2013.0		
555	Université de Saint-Boniface	2.7197	-0.2878	223	1	1	1	2013.0		
556	Muğla University	-0.7516	2.3907	67	0	0	2	2023.5		
